p.Top,p.Bottom,logTop,logBottom,meanCS.Top,meanCS.Bottom,medianCS.Top,medianCS.Bottom,Guide
crRNA0001:1-23,0.575341321937373,0.482067941725648,0.240074433127436,0.316891748821042,0.0418538936894401,0.166213131329671,-0.0801674708425247,0.181717233716211,Perfect Match
crRNA0002:2-24,0.156086584685133,0.489594399799386,0.806634422034234,0.310163558489403,-0.310824001324302,0.133661161508826,-0.26009163482573,0.237944417183402,Perfect Match
crRNA0003:3-25,0.388954176859825,0.786140620973693,0.410101560394446,0.10449976254767,-0.11948935706166,0.00720748424107305,-0.173492546896272,-0.128794714388581,Perfect Match
crRNA0004:5-27,0.208983442916285,0.400489346699454,0.679888120276183,0.397409031967201,-0.404896700323283,0.142586195398689,-0.252670356198394,0.164429545483129,Perfect Match
crRNA0005:6-28,0.458322852843322,0.108930982408168,0.33882848747197,0.962848579608771,-0.0422021668413538,0.157420843387456,-0.0738381375916542,-0.0164136892751531,Perfect Match
crRNA0006:7-29,0.270503688795431,0.554168628915944,0.567826808144927,0.256358062953499,0.123352081751381,0.046652734436702,0.102096530656013,0.135130148211518,Perfect Match
crRNA0007:8-30,0.611005523494504,0.0403903051831212,0.213954863714334,1.39372286535329,-0.286275676500753,0.307540706581511,-0.439833495747737,0.4512826537126,Perfect Match
crRNA0008:9-31,0.679258015231245,0.0635441283362017,0.167965228213475,1.19692457333969,-0.0358277171919932,0.212409873052983,0.214208615438485,0.419405247895634,Perfect Match
crRNA0009:10-32,0.333930468152422,0.575466487219528,0.47634395367161,0.239979962806419,-0.344808004336268,-0.274951549903768,-0.516208147306124,-0.273704698139335,Perfect Match
crRNA0010:12-34,0.0195227151310923,0.475732196171833,1.7094597827528,0.322637455797666,-0.786936367752346,0.0705269000585168,-0.414702447887641,0.149467421560166,Perfect Match
crRNA0011:13-35,0.247241658457491,0.844332040016359,0.606878351892536,0.073486730165027,0.210972346407517,-0.0843345684749139,0.180312461645661,-0.102562504388505,Perfect Match
crRNA0012:14-36,0.13940117291127,0.208893636190118,0.85573357210064,0.68007479031942,0.5285865218964,-0.374868560423407,0.858282893025003,-0.640948241419061,Perfect Match
crRNA0013:15-37,0.28803668603884,0.472089368361428,0.540552194429808,0.325975779941455,0.374846092107599,-0.240849282579945,0.343610013149653,-0.425017153501325,Perfect Match
crRNA0014:17-39,0.0354019465024589,0.0811413888838631,1.45097285853816,1.09075756282056,0.852657927510068,-0.652639950428701,1.00699106162999,-0.886911290867874,Perfect Match
crRNA0015:18-40,0.0502896958984338,0.0875557039533163,1.29852099054792,1.05771555586542,0.651823539328538,-0.745176366511781,0.470890713224711,-0.956374262444126,Perfect Match
crRNA0016:19-41,0.143782564482502,0.0752570587745288,0.842293774649458,1.12345275894936,0.702233467037247,-0.700618150962597,0.816876461763161,-0.879993388617365,Perfect Match
crRNA0017:20-42,0.246232510079024,0.260928587503474,0.608654607717364,0.583478336710948,0.366945472287846,-0.357463021266583,0.455306233170324,-0.562710368240332,Perfect Match
